HomeTeam,AwayTeam,FTHG,FTAG,Year
Bournemouth,Watford,0,3,2019
Aston Villa,Man City,1,6,2019
Watford,Tottenham,0,0,2019
Arsenal,Sheffield United,1,1,2019
Brighton,Aston Villa,1,1,2019
Man City,Crystal Palace,2,2,2019
Norwich,Bournemouth,1,0,2019
Southampton,Wolves,2,3,2019
West Ham,Everton,1,1,2019
Newcastle,Chelsea,1,0,2019
Burnley,Leicester,2,1,2019
Liverpool,Man United,2,0,2019
Aston Villa,Watford,2,1,2019
Bournemouth,Brighton,3,1,2019
Crystal Palace,Southampton,0,2,2019
Everton,Newcastle,2,2,2019
Sheffield United,Man City,0,1,2019
Chelsea,Arsenal,2,2,2019
Leicester,West Ham,4,1,2019
Tottenham,Norwich,2,1,2019
Man United,Burnley,0,2,2019
Wolves,Liverpool,1,2,2019
West Ham,Liverpool,0,2,2019
Leicester,Chelsea,2,2,2019
Bournemouth,Aston Villa,2,1,2019
Crystal Palace,Sheffield United,0,1,2019
Liverpool,Southampton,4,0,2019
Newcastle,Norwich,0,0,2019
Watford,Everton,2,3,2019
West Ham,Brighton,3,3,2019
Man United,Wolves,0,0,2019
Burnley,Arsenal,0,0,2019
Tottenham,Man City,2,0,2019
Everton,Crystal Palace,3,1,2019
Brighton,Watford,1,1,2019
Sheffield United,Bournemouth,2,1,2019
Wolves,Leicester,0,0,2019
Southampton,Burnley,1,2,2019
Norwich,Liverpool,0,1,2019
Aston Villa,Tottenham,2,3,2019
Arsenal,Newcastle,4,0,2019
Chelsea,Man United,0,2,2019
Man City,West Ham,2,0,2019
Chelsea,Tottenham,2,1,2019
Burnley,Bournemouth,3,0,2019
Crystal Palace,Newcastle,1,0,2019
Sheffield United,Brighton,1,1,2019
Southampton,Aston Villa,2,0,2019
Leicester,Man City,0,1,2019
Man United,Watford,3,0,2019
Wolves,Norwich,3,0,2019
Arsenal,Everton,3,2,2019
Liverpool,West Ham,3,2,2019
Norwich,Leicester,1,0,2019
Brighton,Crystal Palace,0,1,2019
Bournemouth,Chelsea,2,2,2019
Newcastle,Burnley,0,0,2019
West Ham,Southampton,3,1,2019
Watford,Liverpool,3,0,2019
Everton,Man United,1,1,2019
Tottenham,Wolves,2,3,2019
Liverpool,Bournemouth,2,1,2019
Arsenal,West Ham,1,0,2019
Crystal Palace,Watford,1,0,2019
Sheffield United,Norwich,1,0,2019
Southampton,Newcastle,0,1,2019
Wolves,Brighton,0,0,2019
Burnley,Tottenham,1,1,2019
Chelsea,Everton,4,0,2019
Man United,Man City,2,0,2019
Leicester,Aston Villa,4,0,2019
